Cone,Index,Height,width_Predicted
cone_0,182,0.732,2.707360983745316
cone_0,183,0.736,2.706413679310074
cone_0,184,0.74,2.705466374874832
cone_0,185,0.744,2.7045190704395905
cone_0,186,0.748,2.7035717660043486
cone_0,187,0.752,2.7026244615691066
cone_0,188,0.756,2.7016771571338647
cone_0,189,0.76,2.7007298526986228
cone_0,190,0.764,2.699782548263381
cone_0,191,0.768,2.698835243828139
cone_0,192,0.772,2.697887939392897
cone_0,193,0.776,2.6969406349576555
cone_0,194,0.78,2.6959933305224135
cone_0,195,0.784,2.6950460260871716
cone_0,196,0.788,2.6940987216519297
cone_0,197,0.792,2.6931514172166877
cone_0,198,0.796,2.692204112781446
cone_0,199,0.8,2.691256808346204
cone_0,200,0.804,2.690309503910962
cone_0,201,0.808,2.68936219947572
cone_0,202,0.812,2.6884148950404785
cone_0,203,0.8160000000000001,2.6874675906052365
cone_0,204,0.8200000000000001,2.6865202861699946
cone_0,205,0.8240000000000001,2.6855729817347527
cone_0,206,0.8280000000000001,2.6846256772995107
cone_0,207,0.8320000000000001,2.683678372864269
cone_0,208,0.8360000000000001,2.682731068429027
cone_0,209,0.84,2.681783763993785
cone_0,210,0.844,2.6808364595585434
cone_0,211,0.848,2.6798891551233015
cone_0,212,0.852,2.6789418506880596
cone_0,213,0.856,2.6779945462528176
cone_0,214,0.86,2.6770472418175757
cone_0,215,0.864,2.6760999373823338
cone_0,216,0.868,2.675152632947092
cone_0,217,0.872,2.67420532851185
cone_0,218,0.876,2.673258024076608
cone_0,219,0.88,2.6723107196413665
cone_0,220,0.884,2.6713634152061245
cone_0,221,0.888,2.6704161107708826
cone_0,222,0.892,2.6694688063356407
cone_0,223,0.896,2.6685215019003987
cone_0,224,0.9,2.667574197465157
cone_0,225,0.904,2.666626893029915
cone_0,226,0.908,2.665679588594673
cone_0,227,0.912,2.664732284159431
cone_0,228,0.916,2.6637849797241895
cone_0,229,0.92,2.6628376752889475
cone_0,230,0.924,2.6618903708537056
cone_0,231,0.928,2.6609430664184637
cone_0,232,0.932,2.6599957619832217
cone_0,233,0.936,2.65904845754798
cone_0,234,0.9400000000000001,2.658101153112738
