image_name,cluster_label,width,height,center
MM_final_0104.tif,2,711.0,519.0,"[1747.5, 4899.5]"
MM_final_0105.tif,1,582.0,707.0,"[302.0, 2333.5]"
MM_final_0105.tif,0,685.0,694.0,"[3323.5, 2375.0]"
MM_final_0105.tif,2,709.0,517.0,"[1748.5, 4899.5]"
MM_final_0106.tif,1,582.0,707.0,"[302.0, 2333.5]"
MM_final_0106.tif,0,686.0,695.0,"[3323.0, 2374.5]"
MM_final_0106.tif,2,707.0,515.0,"[1748.5, 4900.5]"
MM_final_0107.tif,1,581.0,706.0,"[301.5, 2333.0]"
MM_final_0107.tif,0,682.0,697.0,"[3322.0, 2374.5]"
MM_final_0107.tif,2,707.0,515.0,"[1749.5, 4900.5]"
MM_final_0108.tif,1,583.0,707.0,"[301.5, 2332.5]"
MM_final_0108.tif,0,683.0,695.0,"[3321.5, 2373.5]"
MM_final_0108.tif,2,709.0,515.0,"[1748.5, 4900.5]"
MM_final_0109.tif,1,581.0,706.0,"[301.5, 2333.0]"
MM_final_0109.tif,0,684.0,693.0,"[3322.0, 2373.5]"
MM_final_0109.tif,2,707.0,515.0,"[1750.5, 4900.5]"
MM_final_0110.tif,1,581.0,709.0,"[301.5, 2332.5]"
MM_final_0110.tif,0,684.0,692.0,"[3321.0, 2373.0]"
MM_final_0110.tif,2,708.0,515.0,"[1749.0, 4900.5]"
MM_final_0111.tif,1,583.0,708.0,"[301.5, 2332.0]"
MM_final_0111.tif,0,686.0,693.0,"[3322.0, 2373.5]"
MM_final_0111.tif,2,709.0,517.0,"[1748.5, 4900.5]"
MM_final_0112.tif,1,581.0,709.0,"[301.5, 2332.5]"
MM_final_0112.tif,0,685.0,692.0,"[3322.5, 2374.0]"
MM_final_0112.tif,2,709.0,517.0,"[1748.5, 4900.5]"
MM_final_0113.tif,1,581.0,708.0,"[301.5, 2332.0]"
MM_final_0113.tif,0,684.0,692.0,"[3323.0, 2373.0]"
MM_final_0113.tif,2,709.0,517.0,"[1748.5, 4899.5]"
MM_final_0114.tif,1,581.0,708.0,"[301.5, 2332.0]"
MM_final_0114.tif,0,684.0,692.0,"[3324.0, 2373.0]"
MM_final_0114.tif,2,707.0,517.0,"[1749.5, 4899.5]"
MM_final_0115.tif,1,580.0,704.0,"[302.0, 2332.0]"
MM_final_0115.tif,0,688.0,691.0,"[3325.0, 2373.5]"
MM_final_0115.tif,2,708.0,517.0,"[1750.0, 4899.5]"
MM_final_0116.tif,1,583.0,706.0,"[301.5, 2332.0]"
