image_name,cluster_label,width
final_full_stack0139.tif,1,590.0
final_full_stack0140.tif,0,677.0
final_full_stack0140.tif,1,590.0
final_full_stack0140.tif,2,708.0
final_full_stack0141.tif,1,588.0
final_full_stack0141.tif,0,679.0
final_full_stack0141.tif,2,709.0
final_full_stack0142.tif,0,676.0
final_full_stack0142.tif,2,707.0
final_full_stack0142.tif,1,588.0
final_full_stack0143.tif,1,587.0
final_full_stack0143.tif,0,678.0
final_full_stack0143.tif,2,705.0
final_full_stack0144.tif,1,586.0
final_full_stack0144.tif,0,679.0
final_full_stack0144.tif,2,704.0
final_full_stack0145.tif,2,705.0
final_full_stack0145.tif,1,584.0
final_full_stack0145.tif,0,678.0
final_full_stack0146.tif,1,586.0
final_full_stack0146.tif,2,704.0
final_full_stack0146.tif,0,676.0
final_full_stack0147.tif,2,701.0
final_full_stack0147.tif,1,586.0
final_full_stack0147.tif,0,675.0
final_full_stack0148.tif,1,574.0
final_full_stack0148.tif,0,676.0
final_full_stack0148.tif,2,704.0
final_full_stack0149.tif,1,587.0
final_full_stack0149.tif,0,678.0
final_full_stack0149.tif,2,704.0
final_full_stack0150.tif,1,587.0
final_full_stack0150.tif,2,707.0
final_full_stack0150.tif,0,679.0
final_full_stack0151.tif,1,587.0
final_full_stack0151.tif,0,681.0
final_full_stack0151.tif,2,706.0
final_full_stack0152.tif,1,585.0
final_full_stack0152.tif,0,677.0
final_full_stack0152.tif,2,706.0
final_full_stack0153.tif,1,583.0
final_full_stack0153.tif,2,701.0
final_full_stack0153.tif,0,676.0
final_full_stack0154.tif,2,702.0
final_full_stack0154.tif,1,583.0
final_full_stack0155.tif,2,700.0
final_full_stack0155.tif,1,585.0
final_full_stack0156.tif,1,584.0
final_full_stack0156.tif,2,696.0
final_full_stack0157.tif,2,695.0
final_full_stack0157.tif,1,584.0
final_full_stack0158.tif,1,584.0
final_full_stack0158.tif,2,696.0
final_full_stack0159.tif,1,585.0
final_full_stack0159.tif,2,697.0
final_full_stack0160.tif,1,585.0
final_full_stack0160.tif,2,697.0
final_full_stack0161.tif,1,586.0
final_full_stack0161.tif,2,697.0
final_full_stack0162.tif,2,698.0
final_full_stack0162.tif,1,586.0
final_full_stack0163.tif,2,700.0
final_full_stack0163.tif,1,586.0
final_full_stack0164.tif,2,700.0
final_full_stack0164.tif,1,586.0
final_full_stack0165.tif,2,700.0
final_full_stack0165.tif,1,586.0
final_full_stack0166.tif,2,700.0
final_full_stack0166.tif,1,585.0
final_full_stack0167.tif,2,696.0
final_full_stack0167.tif,1,584.0
final_full_stack0167.tif,0,681.0
final_full_stack0168.tif,1,584.0
final_full_stack0168.tif,2,693.0
final_full_stack0169.tif,2,692.0
final_full_stack0169.tif,1,585.0
final_full_stack0170.tif,1,584.0
final_full_stack0170.tif,2,693.0
final_full_stack0171.tif,1,584.0
final_full_stack0171.tif,2,692.0
final_full_stack0172.tif,1,585.0
final_full_stack0172.tif,0,675.0
final_full_stack0172.tif,2,691.0
final_full_stack0173.tif,1,585.0
final_full_stack0173.tif,0,672.0
final_full_stack0173.tif,2,695.0
final_full_stack0174.tif,0,673.0
final_full_stack0174.tif,2,695.0
final_full_stack0174.tif,1,585.0
final_full_stack0175.tif,2,696.0
final_full_stack0175.tif,0,672.0
final_full_stack0175.tif,1,584.0
final_full_stack0176.tif,1,584.0
final_full_stack0176.tif,2,698.0
final_full_stack0176.tif,0,675.0
final_full_stack0177.tif,0,675.0
final_full_stack0177.tif,1,584.0
final_full_stack0177.tif,2,700.0
final_full_stack0178.tif,2,700.0
final_full_stack0178.tif,1,584.0
final_full_stack0178.tif,0,672.0
final_full_stack0179.tif,0,672.0
final_full_stack0179.tif,1,584.0
final_full_stack0179.tif,2,700.0
final_full_stack0180.tif,2,698.0
final_full_stack0180.tif,0,672.0
final_full_stack0180.tif,1,584.0
final_full_stack0181.tif,2,696.0
final_full_stack0181.tif,1,583.0
final_full_stack0181.tif,0,670.0
final_full_stack0182.tif,2,695.0
final_full_stack0182.tif,1,583.0
final_full_stack0182.tif,0,669.0
final_full_stack0183.tif,0,669.0
final_full_stack0183.tif,1,584.0
final_full_stack0183.tif,2,694.0
final_full_stack0184.tif,0,669.0
final_full_stack0184.tif,1,584.0
